id,codigo_scian,area_geo_basica,clave_entidad,clave_localidad,clave_municipio,codigo_postal,correo_electronico,entidad_federativa,estrato_min,estrato_max,fecha_incorporacion_denue,localidad,municipio,nombre_asentamiento_humano,nombre_clase_actividad,nombre_unidad_economica,nombre_vialidad,num_ext_km,numero_telefono,tipo_asentamiento_humano,tipo_establecimiento,tipo_vialidad,total_min,total_max,total_of_sector,suma_min_max,estrato_avg
6170724,1125,43,14,88,41,46260,,JALISCO, 000      , 005      ,2010-07,El Potrero de Murillo,Huejucar,LAS PEnAS,"Piscicultura y otra acuicultura, excepto camaronicultura",UNIDAD DE PRODUCCION PSCICOLA LAS PE?AS,MORELOS,1,,RANCHO,Fijo,CALLE,0         ,5         , 000000000,5         ,5         
6170742,1141,49,14,9001,81,46240,,JALISCO, 006      , 010      ,2010-07,Cortina Presa de Tenasco,Santa Maria de los angeles,LOCALIDAD BOQUILLA DE ZARAGOZA,"Pesca y captura de peces, crustaceos, moluscos y otras especies",COOPERATIVA DE PESCADORES SANTA MARiA DE LOS aNGELES,PASEO,4,,LOCALIDAD,Fijo,CALLE,6         ,10        , 000000000,16        ,16        
6186413,2122,002A,14,256,76,,BCORTEZ@FIRSTMAJESTIC.COM,JALISCO, 251      , 251      ,2014-12,Planta de Beneficio el Pilon,San Martin de Bolanos,LOS ANGELES,Mineria de plata,MINERA EL PILON,CARRETERA KM .5 CAMINO A LA JOYA,0,,COLONIA,Fijo,CARRETERA,502       ,502       , 000000000,1004      ,502       
6187184,2122,127,14,102,19,46130,MIMIME09@PRODIGY.NET.MX,JALISCO, 251      , 251      ,2012-06,El Tepec,Bolanos,hacienda del tepec,Mineria de plomo y zinc,MINERALES Y MINAS MEXICANAS,ninguno,0,,COLONIA,Fijo,CALLE,502       ,502       , 000000000,1004      ,502       
9308954,2131,123,14,1,76,,,JALISCO, 011      , 030      ,2020-11,San Martin de Bolanos,San Martin de Bolanos,SAN TACRUZ,Otros servicios relacionados con la mineria,VERSA PERFORACIONES SAN MARTIN DE BOLAnOS,HOSPITAL,,,BARRIO,Fijo,CALLE,11        ,30        , 000000000,41        ,41        
1726956,2211,247,14,1,25,46200,,JALISCO, 000      , 005      ,2014-12,Colotlan,Colotlan,ALTO,Comercializacion de energia electrica,CFE SUMINUISTRADOR DE SERVICIOS BASICOS,ZARAGOZA,97,,BARRIO,Fijo,CALLE,6         ,30        , 000000000,36        ,7         
1654398,2211,62,14,1,41,46260,LILIANA.RODRIGUEZE@CFE.MX,JALISCO, 000      , 005      ,2010-07,Huejucar,Huejucar,LOS PEREZ,Generacion de electricidad a partir de combustibles fosiles,COMISION FEDERAL DE ELECTRICIDAD,REVOLUCION MEXICANA,42,,BARRIO,Fijo,CALZADA,6         ,30        , 000000000,36        ,7         
9274130,2211,77,14,1,41,46260,,JALISCO, 006      , 010      ,2020-11,Huejucar,Huejucar,CENTRO,Generacion de electricidad a partir de combustibles fosiles,COMISION FEDERAL DE ELECTRICIDAD HUEJUCAR JALISCO,MORELOS,2,4579470019,COLONIA,Fijo,CALLE,6         ,30        , 000000000,36        ,7         
9303864,2211,62,14,1,41,46260,gilberto.guillenv@cfe.mx,JALISCO, 000      , 005      ,2020-11,Huejucar,Huejucar,Centro,Comercializacion de energia electrica,Comision Federal de Electricidad,Revolucion Mexicana,42,,RANCHERIA,Fijo,CALLE,6         ,30        , 000000000,36        ,7         
1814232,2211,227,14,1,115,46100,,JALISCO, 000      , 005      ,2010-07,Villa Guerrero,Villa Guerrero,VERDE,Generacion de electricidad a partir de combustibles fosiles,COMISION FEDERAL DE ELECTRICIDAD,MATAMOROS,,,BARRIO,Fijo,CALLE,6         ,30        , 000000000,36        ,7         
6510695,2213,77,14,1,41,46260,agua.potable23@gmail.com,JALISCO, 006      , 010      ,2016-01,Huejucar,Huejucar,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",OFICINA DE AGUA POTABLE,LIBERTAD,0,,COLONIA,Fijo,CALLE,142       ,295       , 000000001,437       ,29        
6510776,2213,83,14,1,104,46170,TRAICION82@HOTMAIL.COM,JALISCO, 011      , 030      ,2016-01,Totatiche,Totatiche,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",H. AYUNTAMIENTO,HIDALGO,37,,COLONIA,Fijo,CALLE,142       ,295       , 000000001,437       ,29        
6510696,2213,163,14,1,42,46000,serviciosgeneraleshuejuquilla@gmail.com,JALISCO, 006      , 010      ,2016-01,Huejuquilla el Alto,Huejuquilla el Alto,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",DEPARTAMENTO DE AGUA POTABLE MUNICIPAL,INDEPENDENCIA,0,3331158462,COLONIA,Fijo,CALLE,142       ,295       , 000000001,437       ,29        
6510714,2213,053A,14,1,61,46040,,JALISCO, 006      , 010      ,2016-01,Mezquitic,Mezquitic,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",DEPARTAMENTO DE AGUA POTABLE MUNICIPAL,JARDiN HIDALGO,0,,COLONIA,Fijo,CALLE,142       ,295       , 000000001,437       ,29        
8606374,2213,143,14,1,25,46200,,JALISCO, 031      , 050      ,2019-11,Colotlan,Colotlan,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",SISTEMA DE AGUA POTABLE ALCANTARILLADO Y SANIAMIENTO DEL MUNICIPIO DE COLOTLAN,PASEO,58,,COLONIA,Fijo,CALLE,142       ,295       , 000000001,437       ,29        
6510727,2213,123,14,1,76,46350,SMBAYUA@HOTMAIL.COM,JALISCO, 006      , 010      ,2016-01,San Martin de Bolanos,San Martin de Bolanos,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",OFICINA DE AGUA POTABLE,HIDALGO,27,,COLONIA,Fijo,AVENIDA,142       ,295       , 000000001,437       ,29        
6510802,2213,131,14,1,19,46130,,JALISCO, 006      , 010      ,2016-01,Bolanos,Bolanos,CENTRO,"Captacion, tratamiento y suministro de agua realizados por el sector publico",OFICINA DE AGUA POTABLE,PALACIO,5,,COLONIA,Fijo,CALLE,142       ,295       , 000000001,437       ,29        
